Title,YouTube ID,Full URL
-[x] Eternal_vs_AionicLife_WednesdayNightBibleStudiesSeason1EpisodeIII,aghF6tVE3-4,https://www.youtube.com/watch?v=aghF6tVE3-4
-[x] TheMostImpureTaleEverWritten:The120Da,ysofSodom,E-R45_ymFI0,https://www.youtube.com/watch?v=E-R45_ymFI0
-[x] AmmonU:BasicTrainingAncientGreekLesson10,9g-s49Vs6Oo,https://www.youtube.com/watch?v=9g-s49Vs6Oo
-[x] MaculateReceptionwith@GnosticInformant,2vkUYo-cvdw,https://www.youtube.com/watch?v=2vkUYo-cvdw
-[x] InterviewwithLucifer:Chapter1TheNunofNazareth,X5_zb_-mGEM,https://www.youtube.com/watch?v=X5_zb_-mGEM
-[x] TheUranianRitewith@GnosticInformant,Fy7343-HHAM,https://www.youtube.com/watch?v=Fy7343-HHAM
-[x] JesusisLord,J-t5-55f7eQ,https://www.youtube.com/watch?v=J-t5-55f7eQ
-[x] HebrewfromGreekwith@GnosticInformant,OHW-pM_LyGs,https://www.youtube.com/watch?v=OHW-pM_LyGs
-[x] ChildSacrifice,5jW-_oeEMCo,https://www.youtube.com/watch?v=5jW-_oeEMCo
-[x] SacredSodomy:ChurchCoverUpEXPOSED,uMwi-JH3DrA,https://www.youtube.com/watch?v=uMwi-JH3DrA
-[x] Iphiwanassawith@GnosticInformant:WednesdayNightBibleStudiesSeason7EpisodeI,-kUAdC2ZkZw,https://www.youtube.com/watch?v=-kUAdC2ZkZw
-[x] ChristianDelirium:SatanicInitiationSeason6EpisodeIII,RfJf5tn-WNk,https://www.youtube.com/watch?v=RfJf5tn-WNk
-[x] DarkEmpress:SatanicInitiationSeason5EpisodeVI,BJ5k1bQD-ls,https://www.youtube.com/watch?v=BJ5k1bQD-ls
-[x] DarknessoftheBible:SatanicInitiationSeason5EpisodeV,vFiw-jEd6Mw,https://www.youtube.com/watch?v=vFiw-jEd6Mw
-[x] SodomandLot:SatanicInitiationSeason5EpisodeII,qb_a0-WTOpY,https://www.youtube.com/watch?v=qb_a0-WTOpY
-[x] Eternity:WednesdayNightBibleStudiesSeason3EpisodeVI,ejH-NcidcNU,https://www.youtube.com/watch?v=ejH-NcidcNU
-[x] Desire'sControl:WednesdayNightBibleStudiesSeason3EpisodeI,-0T3BWk2zgU,https://www.youtube.com/watch?v=-0T3BWk2zgU
-[x] RomanLadyBabylon:SatanicInitiationSeason3EpisodeI,ehx-kZf87uw,https://www.youtube.com/watch?v=ehx-kZf87uw
-[x] MarkoftheBeast:WednesdayNightBibleStudiesSeason2EpisodeIV,wW_i-6zcKsY,https://www.youtube.com/watch?v=wW_i-6zcKsY
-[x] MenwearingLingerie:SatanicInitiationSeason2EpisodeIV,FIeC6h-BViU,https://www.youtube.com/watch?v=FIeC6h-BViU
-[x] TheRisingAurora:SatanicInitiationSeason1EpisodeVI,G-wjnJCOASs,https://www.youtube.com/watch?v=G-wjnJCOASs
